ConfigurationId;EvolutionOperation(delete-merge-extract);GuidanceIdFromPaper;PreservesBehavior
584;merge;M1;true
585;merge;M1;true
586;merge;M0;true
587;merge;M1;true
588;merge;M1;true
589;merge;M1;true
590;merge;M1;true
591;merge;M1;true
592;merge;M0;true
593;merge;M1;true
594;merge;M1;true
595;merge;M1;true
596;merge;M1;true
597;merge;M1;true
598;merge;M1;true
599;merge;M1;true
600;merge;M1;true
601;merge;M0;true
602;merge;M0;true
603;merge;M0;true
604;merge;M1;true
605;merge;M0;true
606;merge;M1;true
607;merge;M1;true
608;merge;M1;true
609;merge;M1;true
610;merge;M1;true
611;merge;M1;true
612;merge;M1;true
613;merge;M1;true
614;merge;M1;true
615;merge;M0;true
616;merge;M0;true
617;merge;M1;true
618;merge;M1;true
619;merge;M1;true
620;merge;M1;true
621;merge;M1;true
622;merge;M1;true
623;merge;M0;true
624;merge;M1;true
625;merge;M1;true
626;merge;M0;true
627;merge;M1;true
628;merge;M0;true
629;merge;M1;true
630;merge;M1;true
631;merge;M1;true
632;merge;M1;true
633;merge;M1;true
634;merge;M1;true
635;merge;M1;true
636;merge;M1;true
637;merge;M0;true
638;merge;M1;true
639;merge;M1;true
640;merge;M0;true
641;merge;M1;true
642;merge;M1;true
643;merge;M1;true
644;merge;M0;true
645;merge;M0;true
646;merge;M1;true
647;merge;M1;true
648;merge;M0;true
649;merge;M1;true
650;merge;M1;true
651;merge;M1;true
652;merge;M0;true
653;merge;M1;true
654;merge;M0;true
655;merge;M1;true
656;merge;M1;true
657;merge;M1;true
658;merge;M0;true
659;merge;M1;true
660;merge;M1;true
661;merge;M1;true
662;merge;M1;true
663;merge;M0;true
664;merge;M0;true
665;merge;M1;true
666;merge;M0;true
667;merge;M1;true
668;merge;M1;true
669;merge;M1;true
670;merge;M1;true
671;merge;M1;true
672;merge;M1;true
673;merge;M1;true
674;merge;M0;true
675;merge;M1;true
676;merge;M1;true
677;merge;M1;true
678;merge;M1;true
679;merge;M1;true
680;merge;M1;true
681;merge;M1;true
682;merge;M1;true
683;merge;M1;true
684;merge;M1;true
685;merge;M1;true
686;merge;M0;true
687;merge;M1;true
688;merge;M0;true
689;merge;M1;true
690;merge;M1;true
691;merge;M0;true
692;merge;M1;true
693;merge;M0;true
694;merge;M0;true
695;merge;M1;true
696;merge;M1;true
697;merge;M1;true
698;merge;M1;true
699;merge;M0;true
700;merge;M1;true
701;merge;M1;true
702;merge;M0;true
703;merge;M0;true
704;merge;M0;true
705;merge;M1;true
706;merge;M1;true
707;merge;M0;true
708;merge;M1;true
709;merge;M0;true
710;merge;M1;true
711;merge;M1;true
712;merge;M1;true
713;merge;M1;true
714;merge;M1;true
715;merge;M1;true
716;merge;M1;true
717;merge;M1;true
718;merge;M1;true
719;merge;M0;true
720;merge;M0;true
721;merge;M0;true
722;merge;M1;true
723;merge;M1;true
724;merge;M1;true
725;merge;M0;true
726;merge;M1;true
727;merge;M1;true
728;merge;M0;true
729;merge;M0;true
730;merge;M1;true
731;merge;M1;true
732;merge;M1;true
733;merge;M1;true
734;merge;M0;true
735;merge;M1;true
736;merge;M1;true
737;merge;M1;true
738;merge;M1;true
739;merge;M1;true
740;merge;M0;true
741;merge;M1;true
742;merge;M0;true
743;merge;M0;true
744;merge;M1;true
745;merge;M0;true
746;merge;M0;true
747;merge;M1;true
748;merge;M1;true
749;merge;M0;true
750;merge;M1;true
751;merge;M0;true
752;merge;M0;true
753;merge;M0;true
754;merge;M1;true
755;merge;M1;true
756;merge;M0;true
757;merge;M0;true
758;merge;M1;true
759;merge;M1;true
760;merge;M1;true
761;merge;M1;true
762;merge;M0;true
763;merge;M0;true
764;merge;M1;true
765;merge;M1;true
766;merge;M1;true
767;merge;M1;true
768;merge;M0;true
769;merge;M1;true
770;merge;M0;true
771;merge;M1;true
772;merge;M0;true
773;merge;M1;true
774;merge;M1;true
775;merge;M1;true
776;merge;M1;true
777;merge;M1;true
778;merge;M1;true
779;merge;M1;true
780;merge;M1;true
781;merge;M1;true
782;merge;M0;true
783;merge;M1;true
784;merge;M1;true
785;merge;M0;true
786;merge;M1;true
787;merge;M1;true
788;merge;M1;true
789;merge;M0;true
790;merge;M1;true
791;merge;M1;true
792;merge;M1;true
793;merge;M1;true
794;merge;M0;true
795;merge;M1;true
796;merge;M1;true
797;merge;M1;true
798;merge;M0;true
799;merge;M1;true
800;merge;M1;true
801;merge;M1;true
802;merge;M1;true
803;merge;M1;true
804;merge;M1;true
805;merge;M1;true
806;merge;M1;true
807;merge;M0;true
808;merge;M1;true
809;merge;M1;true
810;merge;M0;true
811;merge;M1;true
812;merge;M1;true
813;merge;M1;true
814;merge;M0;true
815;merge;M0;true
816;merge;M1;true
817;merge;M0;true
818;merge;M1;true
819;merge;M0;true
820;merge;M1;true
821;merge;M0;true
822;merge;M0;true
823;merge;M0;true
824;merge;M0;true
825;merge;M1;true
826;merge;M1;true
827;merge;M1;true
828;merge;M1;true
829;merge;M1;true
830;merge;M1;true
831;merge;M0;true
832;merge;M0;true
833;merge;M1;true
834;merge;M0;true
835;merge;M1;true
836;merge;M1;true
837;merge;M1;true
838;merge;M1;true
839;merge;M1;true
840;merge;M1;true
841;merge;M1;true
842;merge;M1;true
843;merge;M0;true
844;merge;M1;true
845;merge;M1;true
846;merge;M1;true
847;merge;M1;true
848;merge;M0;true
849;merge;M1;true
850;merge;M1;true
851;merge;M0;true
852;merge;M1;true
853;merge;M1;true
854;merge;M1;true
855;merge;M1;true
856;merge;M0;true
857;merge;M1;true
858;merge;M1;true
859;merge;M1;true
860;merge;M1;true
861;merge;M0;true
862;merge;M1;true
863;merge;M1;true
864;merge;M1;true
865;merge;M1;true
866;merge;M1;true
867;merge;M0;true
868;merge;M1;true
869;merge;M0;true
870;merge;M0;true
871;merge;M1;true
872;merge;M1;true
873;merge;M1;true
874;merge;M0;true
875;merge;M1;true
876;merge;M1;true
877;merge;M1;true
878;merge;M0;true
879;merge;M0;true
880;merge;M1;true
881;merge;M1;true
882;merge;M0;true
883;merge;M1;true
884;merge;M1;true
885;merge;M1;true
886;merge;M1;true
887;merge;M1;true
888;merge;M1;true
889;merge;M1;true
890;merge;M1;true
891;merge;M1;true
892;merge;M1;true
893;merge;M1;true
894;merge;M1;true
895;merge;M1;true
896;merge;M1;true
897;merge;M1;true
898;merge;M1;true
899;merge;M1;true
900;merge;M1;true
901;merge;M1;true
902;merge;M1;true
903;merge;M1;true
904;merge;M1;true
905;merge;M1;true
906;merge;M0;true
907;merge;M1;true
908;merge;M1;true
909;merge;M1;true
910;merge;M1;true
911;merge;M0;true
912;merge;M1;true
913;merge;M1;true
914;merge;M1;true
915;merge;M1;true
916;merge;M1;true
917;merge;M1;true
918;merge;M0;true
919;merge;M1;true
920;merge;M1;true
921;merge;M0;true
922;merge;M1;true
923;merge;M1;true
924;merge;M1;true
925;merge;M0;true
926;merge;M1;true
927;merge;M1;true
928;merge;M1;true
929;merge;M1;true
930;merge;M1;true
931;merge;M1;true
932;merge;M1;true
933;merge;M1;true
934;merge;M1;true
935;merge;M1;true
936;merge;M1;true
937;merge;M1;true
938;merge;M1;true
939;merge;M1;true
940;merge;M0;true
941;merge;M1;true
942;merge;M1;true
943;merge;M0;true
944;merge;M0;true
945;merge;M1;true
946;merge;M1;true
947;merge;M0;true
948;merge;M1;true
949;merge;M1;true
950;merge;M1;true
951;merge;M1;true
952;merge;M0;true
953;merge;M1;true
954;merge;M0;true
955;merge;M0;true
956;merge;M1;true
957;merge;M0;true
958;merge;M1;true
959;merge;M0;true
960;merge;M1;true
961;merge;M0;true
962;merge;M1;true
963;merge;M1;true
964;merge;M1;true
965;merge;M1;true
966;merge;M1;true
967;merge;M0;true
968;merge;M1;true
969;merge;M0;true
970;merge;M1;true
971;merge;M0;true
972;merge;M0;true
973;merge;M1;true
974;merge;M1;true
975;merge;M1;true
976;merge;M1;true
977;merge;M1;true
978;merge;M1;true
979;merge;M1;true
980;merge;M1;true
981;merge;M1;true
982;merge;M1;true
983;merge;M1;true
984;merge;M0;true
985;merge;M1;true
986;merge;M0;true
987;merge;M1;true
988;merge;M1;true
989;merge;M1;true
990;merge;M1;true
991;merge;M1;true
992;merge;M1;true
993;merge;M1;true
994;merge;M1;true
995;merge;M1;true
996;merge;M1;true
997;merge;M1;true
998;merge;M1;true
999;merge;M1;true
1000;merge;M0;true
