ConfigurationId;EvolutionOperation(delete-merge-extract);GuidanceIdFromPaper;PreservesBehavior
726;merge;M1;true
727;merge;M0;true
728;merge;M0;true
729;merge;M0;true
730;merge;M1;true
731;merge;M3;false
732;merge;M0;true
733;merge;M0;true
734;merge;M3;false
735;merge;M0;true
736;merge;M0;true
737;merge;M2;false
738;merge;M0;true
739;merge;M2;false
740;merge;M0;true
741;merge;M1;true
742;merge;M3;false
743;merge;M3;false
744;merge;M0;true
745;merge;M1;true
746;merge;M0;true
747;merge;M0;true
748;merge;M1;true
749;merge;M0;true
750;merge;M0;true
751;merge;M0;true
752;merge;M3;false
753;merge;M3;false
754;merge;M0;true
755;merge;M0;true
756;merge;M0;true
757;merge;M1;true
758;merge;M3;false
759;merge;M3;false
760;merge;M0;true
761;merge;M0;true
762;merge;M1;true
763;merge;M0;true
764;merge;M0;true
765;merge;M0;true
766;merge;M0;true
767;merge;M0;true
768;merge;M0;true
769;merge;M0;true
770;merge;M2;false
771;merge;M0;true
772;merge;M1;true
773;merge;M3;false
774;merge;M0;true
775;merge;M0;true
776;merge;M0;true
777;merge;M1;true
778;merge;M1;true
779;merge;M3;false
780;merge;M0;true
781;merge;M0;true
782;merge;M0;true
783;merge;M1;true
784;merge;M1;true
785;merge;M2;false
786;merge;M0;true
787;merge;M0;true
788;merge;M3;false
789;merge;M0;true
790;merge;M0;true
791;merge;M0;true
792;merge;M0;true
793;merge;M3;false
794;merge;M0;true
795;merge;M0;true
796;merge;M0;true
797;merge;M1;true
798;merge;M0;true
799;merge;M0;true
800;merge;M0;true
801;merge;M0;true
802;merge;M3;false
803;merge;M0;true
804;merge;M0;true
805;merge;M0;true
806;merge;M0;true
807;merge;M0;true
808;merge;M0;true
809;merge;M0;true
810;merge;M1;true
811;merge;M0;true
812;merge;M0;true
813;merge;M3;false
814;merge;M2;false
815;merge;M3;false
816;merge;M0;true
817;merge;M0;true
818;merge;M0;true
819;merge;M3;false
820;merge;M0;true
821;merge;M1;true
822;merge;M2;false
823;merge;M1;true
824;merge;M0;true
825;merge;M1;true
826;merge;M0;true
827;merge;M2;false
828;merge;M0;true
829;merge;M3;false
830;merge;M1;true
831;merge;M0;true
832;merge;M0;true
833;merge;M0;true
834;merge;M2;false
835;merge;M1;true
836;merge;M3;false
837;merge;M3;false
838;merge;M3;false
839;merge;M0;true
840;merge;M3;false
841;merge;M1;true
842;merge;M0;true
843;merge;M3;false
844;merge;M0;true
845;merge;M0;true
846;merge;M0;true
847;merge;M0;true
848;merge;M1;true
849;merge;M0;true
850;merge;M0;true
851;merge;M3;false
852;merge;M0;true
853;merge;M1;true
854;merge;M3;false
855;merge;M1;true
856;merge;M0;true
857;merge;M1;true
858;merge;M3;false
859;merge;M3;false
860;merge;M1;true
861;merge;M0;true
862;merge;M0;true
863;merge;M0;true
864;merge;M0;true
865;merge;M3;false
866;merge;M0;true
867;merge;M3;false
868;merge;M0;true
869;merge;M0;true
870;merge;M3;false
871;merge;M0;true
872;merge;M3;false
873;merge;M0;true
874;merge;M0;true
875;merge;M1;true
876;merge;M1;true
877;merge;M0;true
878;merge;M0;true
879;merge;M0;true
880;merge;M0;true
881;merge;M3;false
882;merge;M0;true
883;merge;M0;true
884;merge;M3;false
885;merge;M0;true
886;merge;M0;true
887;merge;M2;false
888;merge;M0;true
889;merge;M3;false
890;merge;M3;false
891;merge;M0;true
892;merge;M0;true
893;merge;M0;true
894;merge;M0;true
895;merge;M0;true
896;merge;M0;true
897;merge;M0;true
898;merge;M0;true
899;merge;M3;false
900;merge;M1;true
901;merge;M0;true
902;merge;M0;true
903;merge;M3;false
904;merge;M0;true
905;merge;M0;true
906;merge;M0;true
907;merge;M0;true
908;merge;M0;true
909;merge;M3;false
910;merge;M0;true
911;merge;M2;false
912;merge;M0;true
913;merge;M1;true
914;merge;M0;true
915;merge;M0;true
916;merge;M0;true
917;merge;M1;true
918;merge;M0;true
919;merge;M2;false
920;merge;M0;true
921;merge;M0;true
922;merge;M0;true
923;merge;M0;true
924;merge;M1;true
925;merge;M3;false
926;merge;M0;true
927;merge;M3;false
928;merge;M2;false
929;merge;M0;true
930;merge;M0;true
931;merge;M0;true
932;merge;M3;false
933;merge;M0;true
934;merge;M0;true
935;merge;M2;false
936;merge;M1;true
937;merge;M3;false
938;merge;M0;true
939;merge;M0;true
940;merge;M0;true
941;merge;M0;true
942;merge;M0;true
943;merge;M0;true
944;merge;M3;false
945;merge;M3;false
946;merge;M2;false
947;merge;M3;false
948;merge;M0;true
949;merge;M0;true
950;merge;M0;true
951;merge;M0;true
952;merge;M1;true
953;merge;M0;true
954;merge;M0;true
955;merge;M3;false
956;merge;M3;false
957;merge;M0;true
958;merge;M2;false
959;merge;M0;true
960;merge;M0;true
961;merge;M1;true
962;merge;M0;true
